stepX,stepY,mmX,mmY
0,0,0.0,0.0
13332,0,156.0,0.0
8332,0,97.27058823529411,0.0
5332,0,62.400000000000006,0.0
2332,0,27.529411764705884,0.0
0,-3000,0.0,33.035294117647055
0,-7000,0.0,79.83529411764705
0,-12000,0.0,139.4823529411765
0,-12976,0.0,151.41176470588235
